id,real_construction_probability,is_likely_real
0,0.52098125,1
1,0.52098125,1
2,0.52098125,1
3,0.52098125,1
4,0.52098125,1
5,0.6009812,1
6,0.6009812,1
7,0.52098125,1
8,0.6009812,1
9,0.62060577,1
10,0.6009812,1
11,0.6009812,1
12,0.52098125,1
13,0.11991195,0
14,0.79226935,1
15,0.52098125,1
16,0.52098125,1
17,0.52098125,1
18,0.877385,1
19,0.21310359,0
20,0.52098125,1
21,0.6009812,1
22,0.52098125,1
23,0.6009812,1
24,0.6009812,1
25,0.6009812,1
26,0.6009812,1
27,0.52098125,1
28,0.5765072,1
29,0.6840536,1
30,0.52098125,1
31,0.6009812,1
32,0.8062388,1
33,0.88602626,1
34,0.5765072,1
35,0.6009812,1
36,0.52098125,1
37,0.52098125,1
38,0.6009812,1
39,0.6009812,1
40,0.6009812,1
41,0.6009812,1
42,0.52098125,1
43,0.6009812,1
44,0.6009812,1
45,0.6009812,1
46,0.6009812,1
47,0.8062388,1
48,0.6009812,1
49,0.52098125,1
50,0.52098125,1
51,0.5651532,1
52,0.52098125,1
53,0.067888625,0
54,0.6009812,1
55,0.6009812,1
56,0.88602626,1
57,0.6009812,1
58,0.10621876,0
59,0.6009812,1
60,0.6009812,1
61,0.6009812,1
62,0.51470166,1
63,0.6009812,1
64,0.6009812,1
65,0.6009812,1
66,0.79226935,1
67,0.6009812,1
68,0.6009812,1
69,0.5765072,1
70,0.6009812,1
71,0.52098125,1
72,0.79226935,1
73,0.6009812,1
74,0.52098125,1
75,0.80178523,1
76,0.52098125,1
77,0.52098125,1
78,0.52098125,1
79,0.52098125,1
80,0.52098125,1
81,0.6009812,1
82,0.62060577,1
83,0.6009812,1
84,0.7184561,1
85,0.6009812,1
86,0.6009812,1
87,0.6009812,1
88,0.6009812,1
89,0.8062388,1
90,0.6009812,1
91,0.88602626,1
92,0.6009812,1
93,0.6009812,1
94,0.6009812,1
95,0.6009812,1
96,0.6009812,1
97,0.6009812,1
98,0.6009812,1
99,0.7184561,1
100,0.6009812,1
101,0.6009812,1
102,0.6009812,1
103,0.6009812,1
104,0.6009812,1
105,0.6009812,1
106,0.8062388,1
107,0.6009812,1
108,0.52098125,1
109,0.52098125,1
110,0.6009812,1
111,0.6009812,1
112,0.6009812,1
113,0.6009812,1
114,0.6009812,1
115,0.6009812,1
116,0.6009812,1
117,0.6009812,1
118,0.8062388,1
119,0.6009812,1
120,0.88602626,1
121,0.6009812,1
122,0.6009812,1
123,0.6009812,1
124,0.6009812,1
125,0.6009812,1
126,0.8062388,1
127,0.6009812,1
128,0.6009812,1
129,0.6009812,1
130,0.52098125,1
131,0.52098125,1
132,0.6009812,1
133,0.32077524,0
134,0.52098125,1
135,0.6009812,1
136,0.6009812,1
137,0.6009812,1
138,0.6009812,1
139,0.6009812,1
140,0.52098125,1
141,0.6009812,1
142,0.6009812,1
143,0.52098125,1
144,0.52098125,1
145,0.6009812,1
146,0.6009812,1
147,0.6009812,1
148,0.6009812,1
149,0.52098125,1
150,0.6009812,1
151,0.6009812,1
152,0.26991397,0
153,0.6009812,1
154,0.6009812,1
155,0.6009812,1
156,0.52098125,1
157,0.6009812,1
158,0.52098125,1
159,0.52098125,1
160,0.52098125,1
161,0.6009812,1
162,0.52098125,1
163,0.52098125,1
164,0.6009812,1
165,0.52098125,1
166,0.6009812,1
167,0.6009812,1
168,0.52098125,1
169,0.52098125,1
170,0.6009812,1
171,0.6009812,1
172,0.6009812,1
173,0.52098125,1
174,0.6009812,1
175,0.7184561,1
176,0.6009812,1
177,0.52098125,1
178,0.52098125,1
179,0.6009812,1
180,0.52098125,1
181,0.52098125,1
182,0.52098125,1
183,0.6840536,1
184,0.52098125,1
185,0.52098125,1
186,0.6704661,1
187,0.52098125,1
188,0.52098125,1
189,0.5765072,1
190,0.52098125,1
191,0.52098125,1
192,0.52098125,1
193,0.6009812,1
194,0.52098125,1
195,0.52098125,1
196,0.8507656,1
197,0.52098125,1
198,0.52098125,1
199,0.79226935,1
200,0.52098125,1
201,0.52098125,1
202,0.52098125,1
203,0.52098125,1
204,0.52098125,1
205,0.6009812,1
206,0.52098125,1
207,0.6009812,1
208,0.52098125,1
209,0.6009812,1
210,0.6009812,1
211,0.6009812,1
212,0.7184561,1
213,0.6009812,1
214,0.6009812,1
215,0.6009812,1
216,0.6009812,1
217,0.6009812,1
218,0.6009812,1
219,0.6009812,1
220,0.6009812,1
221,0.6009812,1
222,0.6009812,1
223,0.14389434,0
224,0.6009812,1
225,0.6009812,1
226,0.8062388,1
227,0.6009812,1
228,0.6009812,1
229,0.6009812,1
230,0.6009812,1
231,0.6009812,1
232,0.6009812,1
233,0.6009812,1
234,0.6009812,1
235,0.6009812,1
236,0.6009812,1
237,0.6009812,1
